manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
Ginger and the Cursed Prince,"Virtues of the Villainess, Agyeog-i Bepuneun Mideok",악역이 베푸는 미덕,Ginger and the Cursed Prince,Manhwa,Unknown,82,Finished,"Feb  3, 2020 to Dec  3, 2021","FantasyFantasy,RomanceRomance",,,KakaoPage,"Jwittong Saettong(Story),Koonac(Art)","7.181(scored by19831,983 users)1indicates aweighted score.",#670622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4798,"5,104",38
Hive,,하이브,Hive,Manhwa,Unknown,243,Finished,"Jan  20, 2014 to Oct  29, 2018","ActionAction,HorrorHorror,SuspenseSuspense",SurvivalSurvival,,Naver Webtoon,"Kim, Kyusam(Story & Art)",7.181(scored by765765 users)1indicates aweighted score.,#670722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9881,"2,174",23
The Heiress's Double Life,"The Princess's Double Life, Gongnyeo-nim-ui Ijung Saenghwal",공녀님의 이중생활,The Heiress's Double Life,Manhwa,Unknown,130,Finished,"Oct  14, 2021 to Apr  3, 2025","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Go, Eunchae(Story),Ssangpil(Art)",7.181(scored by624624 users)1indicates aweighted score.,#670822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7958,"2,856",7
The Crimson Lady,"Reset Lady, Resetting Lady",리셋팅 레이디,The Crimson Lady,Manhwa,Unknown,Unknown,Publishing,"Aug  7, 2022 to ?","FantasyFantasy,SuspenseSuspense","IsekaiIsekai,PsychologicalPsychological,Time TravelTime Travel",,KakaoPage,"Cha, Seojin(Story),Taegong(Art)","7.181(scored by11361,136 users)1indicates aweighted score.",#670922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4923,"4,957",26
My Farm by the Palace,"Marronnier Farm Nearby the Imperial Palace, Marronnier Farm Next to the Imperial Palace",황제궁 옆 마로니에 농장,My Farm by the Palace,Manhwa,Unknown,Unknown,Publishing,"Apr  30, 2022 to ?","FantasyFantasy,RomanceRomance",,,KakaoPage,"Jungyeon(Story),Ollcha(Art)",7.181(scored by409409 users)1indicates aweighted score.,#671022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10777,"1,946",8
The Legendary Beasts Animal Hospital,"An Animal Hospital in the Border Area, Jeopgyeongjiyeog-ui Dongmul Byeongwon",접경지역의 동물병원,The Legendary Beasts Animal Hospital,Manhwa,Unknown,152,Finished,"Nov  30, 2020 to Apr  18, 2025",SupernaturalSupernatural,"MedicalMedical,MythologyMythology",,KakaoPage,"Ecira(Story),Choi, Palho(Art)",7.181(scored by245245 users)1indicates aweighted score.,#671222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17946,965,4
Only Hope,,온리호프,Only Hope,Manhwa,Unknown,Unknown,Publishing,"Sep  29, 2022 to ?","RomanceRomance,SuspenseSuspense",Time TravelTime Travel,,Naver Webtoon,Choseung(Story & Art),7.181(scored by336336 users)1indicates aweighted score.,#671522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11347,"1,832",13
The Beloved Bashful Villainess,The Villainess Is Shy in Receiving Affection,악역 소녀는 사랑받기가 부끄러워요,The Beloved Bashful Villainess,Manhwa,Unknown,Unknown,Publishing,"Feb  16, 2023 to ?",FantasyFantasy,VillainessVillainess,,KakaoPage,"Ryu, Heon(Story),Chira(Art)",7.181(scored by597597 users)1indicates aweighted score.,#671722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7819,"2,917",10
Kalli the Champion,Gwontusa Kalli,권투사 칼리,,Manhwa,Unknown,Unknown,Publishing,"Oct  18, 2023 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,Martial ArtsMartial Arts,ReincarnationReincarnation",,KakaoPage,"Baeksu Gwijok(Story),El Macho(Art)",7.181(scored by594594 users)1indicates aweighted score.,#672022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9262,"2,352",5
The S-Class Lady,S-Class Hunter Doesn't Want to Be a Villainous Princess,S급 헌터는 악역 공녀가 되기 싫습니다,The S-Class Lady,Manhwa,Unknown,Unknown,Publishing,"Feb  6, 2024 to ?",FantasyFantasy,"IsekaiIsekai,VillainessVillainess",,KakaoPage,"Blue Canna(Art),Haegang(Story)",7.181(scored by784784 users)1indicates aweighted score.,#672122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5997,"3,991",17
"Act Like a Boss Monster, Mr. Swallow!","Mr. Devourer, Please Act Like a Final Boss, The Unbeatable Dungeon's Lazy Boss Monster","보스 몹답게 행동하세요, 스왈로우 씨!","Act Like a Boss Monster, Mr. Swallow!",Manhwa,Unknown,Unknown,Publishing,"Dec  31, 2023 to ?","ActionAction,FantasyFantasy",,,KakaoPage,"Uk-jakga(Art),Leltree(Story)","7.181(scored by13321,332 users)1indicates aweighted score.",#672222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4277,"5,779",10
Sandwich Girl,,,Sandwich Girl,Manhwa,8,Unknown,Finished,2005 to ?,"ComedyComedy,RomanceRomance",SchoolSchool,ShoujoShoujo,None,"Han, Yu-Rang(Story & Art)",7.181(scored by367367 users)1indicates aweighted score.,#673022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15765,"1,165",7
Hanged Doll,"Kyosuinhyung, The Hanged Doll",교수인형,,Manhwa,3,70,Finished,"Oct  22, 2007 to Jul  10, 2008","ActionAction,DramaDrama,HorrorHorror,MysteryMystery",,,Daum Webtoon,Team Getname(Story & Art),7.181(scored by889889 users)1indicates aweighted score.,#674622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7023,"3,318",24
Vampire of the East,"Bameul Geonneun Seonbi, Scholar of the Night, Scholar Walking at Night, Scholar Who Walks the Night",밤을 걷는 선비,Vampire of the East,Manhwa,20,113,Finished,"Feb  2012 to Jun  15, 2018","MysteryMystery,RomanceRomance,SupernaturalSupernatural","CrossdressingCrossdressing,HistoricalHistorical,VampireVampire",ShoujoShoujo,Wink,"Han, Seung-Hee(Art),Jo, Joo-Hee(Story)",7.171(scored by214214 users)1indicates aweighted score.,#678522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17163,"1,032",11
Suicide Boy,Jasal Sonyeon,자살 소년,,Manhwa,Unknown,Unknown,Publishing,"Aug  12, 2017 to ?","ComedyComedy,Slice of LifeSlice of Life",SchoolSchool,,Lezhin Comics Webtoon,Parkgee(Story & Art),"7.171(scored by52755,275 users)1indicates aweighted score.",#681322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1560,"14,991",605
She's My Type,Chwihyang-jeogyeok Geunyeo,취향저격 그녀,,Manhwa,16,159,Finished,"Apr  1, 2018 to Dec  4, 2021","ComedyComedy,DramaDrama,RomanceRomance",,,Daum Webtoon,Roseong(Story & Art),7.171(scored by173173 users)1indicates aweighted score.,#681622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17390,"1,011",9
30 Minutes With You,"30-Minute Walk, Georeoseo 30-bun",걸어서 30분,30 Minutes With You,Manhwa,Unknown,213,Finished,"Sep  22, 2017 to Dec  2, 2021","DramaDrama,RomanceRomance",,,Naver Webtoon,Iondo(Story & Art),7.171(scored by161161 users)1indicates aweighted score.,#681922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#23629,616,6
The Villainess Captured the Grand Duke,,악녀는 대공을 사로잡았다,The Villainess Captured the Grand Duke,Manhwa,Unknown,Unknown,Publishing,"Feb  23, 2024 to ?","FantasyFantasy,RomanceRomance","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Dorong(Art),Ppyap(Story)",7.171(scored by210210 users)1indicates aweighted score.,#682422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15346,"1,213",1
Genius Lout Composer Returns,"Return of a Crazy Genius Composer, Mangnani Cheonjae Jakgokga Hoegwihada, The Crazy Genius Composer Returns",망나니 천재 작곡가 회귀하다,Genius Lout Composer Returns,Manhwa,Unknown,Unknown,Publishing,"Jun  28, 2024 to ?",DramaDrama,"MusicMusic,Time TravelTime Travel",,KakaoPage,"Geulseungi(Story),Doing(Art)",7.171(scored by184184 users)1indicates aweighted score.,#682622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#16697,"1,074",2
The Investor Who Sees the Future,,,,,,,,,,,,,,,,,,
Utopia's Avenger,,,,,,,,,,,,,,,,,,
Chocolat,,,,,,,,,,,,,,,,,,
The Lady and the Beast,,,,,,,,,,,,,,,,,,
Tacit,,,,,,,,,,,,,,,,,,
Knight Under My Heart,,,,,,,,,,,,,,,,,,
Dear Nemesis,,,,,,,,,,,,,,,,,,
Rosalyn Vogart,,,,,,,,,,,,,,,,,,
Dating to Survive,,,,,,,,,,,,,,,,,,
Melo Holic,,멜로홀릭,,Manhwa,Unknown,74,Finished,"Mar  9, 2010 to Aug  9, 2011","RomanceRomance,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,Team Getname(Story & Art),7.161(scored by174174 users)1indicates aweighted score.,#703622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27985,447,4
Rotten,Akchwi,악취,Rotten,Manhwa,Unknown,49,Finished,"Jun  23, 2019 to May  24, 2020",SuspenseSuspense,PsychologicalPsychological,,Naver Webtoon,Digeut(Story & Art),7.161(scored by581581 users)1indicates aweighted score.,#703722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#14477,"1,322",5
Summer Breeze,,썸머 브리즈,,Manhwa,1,12,Finished,"Aug  7, 2019 to Oct  9, 2019",RomanceRomance,,,Naver Webtoon,"Han, Kyoung-chal(Story & Art)",7.161(scored by137137 users)1indicates aweighted score.,#703922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#32364,330,0
Tale of a Scribe Who Retires to the Countryside,Nakhyang Munsajeon,낙향문사전,,Manhwa,Unknown,Unknown,Publishing,"May  14, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Martial ArtsMartial Arts,,Naver Webtoon,"Choi, Hyun-woo(Story),Gogi Sanjeok(Art),Team Pegasus(Art)","7.161(scored by10131,013 users)1indicates aweighted score.",#704022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5636,"4,251",17
When the Third Wheel Strikes Back,What Happens When the Second Male Lead Powers Up,서브 남주가 파업하면 생기는 일,When the Third Wheel Strikes Back,Manhwa,Unknown,96,Finished,"Dec  11, 2022 to May  25, 2025","ComedyComedy,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Sookym(Story),Haegeuneul(Art)",7.161(scored by401401 users)1indicates aweighted score.,#704222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11808,"1,739",16
Why Are You Obsessed With Your Fake Wife?,,가짜 아내에게 왜 집착하세요?,Why Are You Obsessed With Your Fake Wife?,Manhwa,Unknown,Unknown,Publishing,"Jul  31, 2023 to ?","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"DD(Story),Jajak(Art)",7.161(scored by432432 users)1indicates aweighted score.,#704622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9579,"2,257",6
"Cherry Boy, That Girl",,"체리보이, 그녀",,Manhwa,Unknown,110,Finished,"Jun  27, 2012 to Jan  14, 2015","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life","CrossdressingCrossdressing,SchoolSchool",,Daum Webtoon,South Ant(Story & Art),"7.161(scored by27812,781 users)1indicates aweighted score.",#693622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3981,"6,197",87
Sweet Bitter Love,,비터 스위트러브,,Manhwa,10,Unknown,Finished,Not available,RomanceRomance,,,None,"Han, Yu-Rang(Story & Art)",7.161(scored by294294 users)1indicates aweighted score.,#699722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18656,908,2
Yeonmo,Love,연모,,Manhwa,11,44,Finished,2011 to  2014,"DramaDrama,RomanceRomance","CrossdressingCrossdressing,HistoricalHistorical",ShoujoShoujo,Issue,"Lee, So Young(Story & Art)",7.161(scored by251251 users)1indicates aweighted score.,#700422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17794,976,3
Gwisin Byeolgok,"Ghost Byeolgok, Guisin Byeolgok",귀신별곡,,Manhwa,9,Unknown,Finished,2008 to  2011,"ActionAction,ComedyComedy,RomanceRomance,SupernaturalSupernatural",,ShounenShounen,None,"Han, Hyun-Dong(Story & Art)",7.161(scored by667667 users)1indicates aweighted score.,#700522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10267,"2,072",6
Forest of Gray City,"To Run in a Gray Urban Forest, Running Through the City In the Sunset",잿빛 도시숲을 달리다,Forest of Gray City,Manhwa,2,16,Finished,Jan  2005 to Aug  2005,"RomanceRomance,Slice of LifeSlice of Life",,ShoujoShoujo,Wink,"Uhm, Jung-Hyun(Story & Art)","7.161(scored by10961,096 users)1indicates aweighted score.",#695022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9489,"2,282",20
The Great Catsby,Widaehan Kaetcheubi,위대한 캣츠비,The Great Catsby,Manhwa,6,72,Finished,"Jan  4, 2006 to Sep  13, 2008",DramaDrama,,,Daum Webtoon,"Kang, Doha(Story & Art)",7.161(scored by112112 users)1indicates aweighted score.,#696122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#25349,540,5
I Accept You,,넌 내가 접수한다,,Manhwa,6,24,Finished,2003,RomanceRomance,SchoolSchool,ShoujoShoujo,None,"Kwon, Yeul Hee(Story & Art)","7.161(scored by11191,119 users)1indicates aweighted score.",#697422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9192,"2,377",10
Tiara,,티아라,,Manhwa,Unknown,Unknown,Publishing,"Jan  28, 2009 to ?",FantasyFantasy,,ShoujoShoujo,None,"Kara(Art),Lee, Yunhee(Story)",7.161(scored by455455 users)1indicates aweighted score.,#697522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12264,"1,658",9
Vengeance,,벤전스,Vengeance,Manhwa,Unknown,22,Finished,"Sep  18, 2015 to Jan  8, 2016","DramaDrama,Girls LoveGirls Love",,,Lezhin Comics Webtoon,Aji(Story & Art),7.161(scored by306306 users)1indicates aweighted score.,#691022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17918,967,3
The Villainess's Blind Date Is Too Perfect,"The Villainess's Match Is Too Perfect, The Witch's Mate Is Too Perfect",악녀의 맞선남이 너무 완벽하다,The Villainess's Blind Date Is Too Perfect,Manhwa,Unknown,Unknown,Publishing,"Aug  11, 2023 to ?","FantasyFantasy,RomanceRomance",VillainessVillainess,,KakaoPage,"Next Level Studio(Art),Chae, Jooa(Story),Joohong(Art)",7.161(scored by310310 users)1indicates aweighted score.,#691822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11788,"1,743",6
The Genius Murim Fitness Trainer,"Genius Martial Arts Trainer, Genius Murim Trainer, Cheonjae Murim Trainer",천재 무림 트레이너,The Genius Murim Fitness Trainer,Manhwa,Unknown,Unknown,Publishing,"May  4, 2024 to ?",FantasyFantasy,"IsekaiIsekai,Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"Cru Cru(Story),Hwang, Minwoo(Art)",7.161(scored by850850 users)1indicates aweighted score.,#692122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6400,"3,706",4
My Virtual God Is a Teenage Girl,Yeogosaeng-i Sin-inde Na-man Goerophim,여고생이 신인데 나만 괴롭힘,My Virtual God Is a Teenage Girl,Manhwa,Unknown,Unknown,Publishing,"Feb  18, 2024 to ?","ComedyComedy,DramaDrama,SupernaturalSupernatural",SchoolSchool,,Naver Webtoon,"Park, Janggo(Story),Yi Woo(Art)",7.161(scored by150150 users)1indicates aweighted score.,#692222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27224,473,4
Divorcing the Emperor,"How Can There Be a Divorce When We Haven't Even Married, Your Majesty?, I'm Not Even Married. What Divorce, Your Majesty?","결혼도 안 했는데 무슨 이혼인가요, 폐하",Divorcing the Emperor,Manhwa,Unknown,Unknown,Publishing,"Jul  28, 2024 to ?","FantasyFantasy,RomanceRomance",,,KakaoPage,"Nishinoki, Hara(Art),Jeonseolui Goyangi(Story)",7.161(scored by171171 users)1indicates aweighted score.,#692422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19954,818,2
All for My Dearest Juliet,For the Beautiful Juliet,아름다운 줄리엣을 위하여,All for My Dearest Juliet,Manhwa,Unknown,Unknown,Publishing,"Aug  12, 2024 to ?","DramaDrama,FantasyFantasy,RomanceRomance",,,Naver Webtoon,"Dojucharyang(Story),Sammilsam(Art)",7.161(scored by133133 users)1indicates aweighted score.,#692522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18248,941,4
Solo Resurrection,"I Alone Resurrect, Na Honja Buhwalhada",나 혼자 부활한다,,Manhwa,Unknown,Unknown,Publishing,"Aug  14, 2024 to ?","ActionAction,FantasyFantasy",,,KakaoPage,"Hanso(Story),Studio Khit(Art)",7.161(scored by463463 users)1indicates aweighted score.,#692622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7728,"2,963",5
When Fate Finds Us,Kissing With God's Eyes Covered,신의 눈을 가린 채 입을 맞추면,When Fate Finds Us,Manhwa,Unknown,86,Finished,"Sep  15, 2023 to Jun  27, 2025","FantasyFantasy,RomanceRomance",,,Ridi Webtoon,Surreuk Comics(Story & Art),7.161(scored by147147 users)1indicates aweighted score.,#692922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#29158,412,1
I Became the Mother of the Evil Male Lead,"I Became the Mother of the Bloody Male Lead, I Became the Mother of the Tragic Male Lead",피폐물 남주의 엄마가 되었다,I Became the Mother of the Evil Male Lead,Manhwa,Unknown,80,Finished,"Nov  4, 2023 to Mar  15, 2025","FantasyFantasy,RomanceRomance","ChildcareChildcare,IsekaiIsekai",,Naver Webtoon,"Peril(Story),Tae, Sahye(Art)",7.151(scored by773773 users)1indicates aweighted score.,#704822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8537,"2,616",13
Escape From the Daytime Drama,"I Will Escape from the Flower of Ordeals, I Will Escape from the Flower of Trials",시련의 꽃에서 탈출하겠다,Escape From the Daytime Drama,Manhwa,Unknown,70,Finished,"Feb  28, 2024 to Mar  14, 2025","DramaDrama,RomanceRomance",VillainessVillainess,,KakaoPage,"Ant Studio(Art),Lee, Seorae(Story)",7.151(scored by205205 users)1indicates aweighted score.,#713122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19551,845,5
The Genius Spirited Streamer,Cheonjae-ui Sindeullin Game Bangsong,천재의 신들린 게임방송,The Genius Spirited Streamer,Manhwa,Unknown,Unknown,Publishing,"May  30, 2024 to ?","ActionAction,FantasyFantasy",Video GameVideo Game,,Naver Webtoon,"Midgoboneun(Story),OPST(Art)",7.151(scored by129129 users)1indicates aweighted score.,#713322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#25967,517,3
The Genius Wants an Ordinary Life,"The Genius Wants to Be Ordinary!, Cheonjae-neun Pyeongbeomhage Salgiro Haetdeo",천재는 평범하게 살기로 했더,The Genius Wants an Ordinary Life,Manhwa,Unknown,Unknown,Publishing,"Dec  24, 2024 to ?",DramaDrama,Time TravelTime Travel,,Naver Webtoon,"Jasone(Story),Ati(Art)",7.151(scored by192192 users)1indicates aweighted score.,#713422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15912,"1,150",3
The Tutorial Is Too Tough!,"The Tutorial Is Too Hard!, Tutorial-i Neomu Eoryeopda",튜토리얼이 너무 어렵다,The Tutorial Is Too Tough!,Manhwa,Unknown,Unknown,Publishing,"Jan  31, 2021 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,SurvivalSurvival",,KakaoPage,"Gandara(Story),Imae, Daiki(Art)","7.151(scored by35123,512 users)1indicates aweighted score.",#705322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1917,"12,587",70
FFF-Class Trashero,FFF-geup Gwansim Yongsa,FFF급 관심용사,FFF-Class Trashero,Manhwa,Unknown,172,Discontinued,"Sep  17, 2019 to Sep  24, 2023","ActionAction,AdventureAdventure,FantasyFantasy","IsekaiIsekai,Time TravelTime Travel",,KakaoPage,"Parnar(Story),Kkangmu(Art)","7.151(scored by56665,666 users)1indicates aweighted score.",#705422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1322,"17,027",170
The Player Who Can't Level Up,"The Player That Can't Level Up, Level Up Mothaneun Player",레벨업 못하는 플레이어,The Player Who Can't Level Up,Manhwa,Unknown,Unknown,Publishing,"Feb  28, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,,KakaoPage,"GaVinGe(Story),Park, Jeongjae(Art)","7.151(scored by74377,437 users)1indicates aweighted score.",#705722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#807,"26,291",111
Money Game,,머니게임,Money Game,Manhwa,4,60,Finished,"Nov  23, 2018 to Dec  20, 2019",SuspenseSuspense,"High Stakes GameHigh Stakes Game,PsychologicalPsychological,SurvivalSurvival",,Naver Webtoon,"Bae, Jin-Soo(Story & Art)",7.151(scored by289289 users)1indicates aweighted score.,#705822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#21740,709,5
I'm the Tyrant's Secretary,"I Became the Secretary of the Tyrant, Pokgun-ui Biseogwan-i Doeeotseumnida",폭군의 비서관이 되었습니다,I'm the Tyrant's Secretary,Manhwa,Unknown,118,Finished,"May  20, 2021 to May  9, 2024","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Lee, Inhye(Story),Giho(Art)","7.151(scored by12361,236 users)1indicates aweighted score.",#706022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6139,"3,886",11
The Lady with a Mask,"Masked Woman, Gamyeon Sseun Yeoja",가면 쓴 여자,The Lady with a Mask,Manhwa,Unknown,55,Finished,"May  17, 2018 to May  17, 2019",RomanceRomance,"Adult CastAdult Cast,WorkplaceWorkplace",,KakaoPage,"Min(Story),Merin(Art)",7.151(scored by781781 users)1indicates aweighted score.,#706122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12179,"1,671",7
He Can't Be This Dumb!,"I Can't Be This Stupid, Ireoke Babo-illi Eopseo",이렇게 바보일리 없어,He Can't Be This Dumb!,Manhwa,Unknown,91,Finished,"Sep  17, 2021 to Feb  17, 2023","ComedyComedy,RomanceRomance",SchoolSchool,,KakaoPage,"Han, Jihye(Story),Pop(Art)",7.151(scored by700700 users)1indicates aweighted score.,#706322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11364,"1,827",13
Celestial Bride,Cheonin-ui Sinbu,천인의 신부,Celestial Bride,Manhwa,Unknown,100,Finished,"Oct  2, 2020 to Sep  18, 2022","DramaDrama,FantasyFantasy,RomanceRomance",,,KakaoPage,"Moonsol(Story),Heemyeong(Art)",7.151(scored by157157 users)1indicates aweighted score.,#706422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#25343,540,0
The Art of Reincarnation,"Standard of Reincarnation, The Essence of Reincarnation, Hwansaeng-ui Jeongseok",환생의 정석,The Art of Reincarnation,Manhwa,Unknown,Unknown,Publishing,"Aug  10, 2022 to ?","ActionAction,FantasyFantasy",ReincarnationReincarnation,,KakaoPage,"Kim, Pyeongbeom(Story),Lee, Sangkyung(Art)","7.151(scored by42034,203 users)1indicates aweighted score.",#706522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1477,"15,636",48
Enrolling in the Transcendent Academy,"Transcension Academy, Chowolja Hagwon-ui Sugangsaeng-i Doeeotda",초월자 학원의 수강생이 되었다,Enrolling in the Transcendent Academy,Manhwa,Unknown,Unknown,Publishing,"Jul  7, 2022 to ?","ActionAction,FantasyFantasy",,,Naver Webtoon,"Dupachitapa(Story),Kkyujeanne(Art)","7.151(scored by21672,167 users)1indicates aweighted score.",#706622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2779,"8,838",26
Seducing the Monster Duke,"I Will Become the Hero's Mother, I'll Be the Warrior's Mother",용사의 어머니가 되겠습니다,Seducing the Monster Duke,Manhwa,Unknown,121,Finished,"Aug  26, 2022 to Jun  25, 2025","FantasyFantasy,RomanceRomance",,,KakaoPage,"Ellianyang(Story),Capu(Art)",7.151(scored by606606 users)1indicates aweighted score.,#706722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7658,"2,993",7
King of the Octagon,Octagon-ui Jewang,옥타곤의 제왕,King of the Octagon,Manhwa,Unknown,Unknown,Publishing,"May  24, 2022 to ?",SportsSports,Combat SportsCombat Sports,,Naver Webtoon,"Philip(Story),Gopubi(Art)",7.151(scored by288288 users)1indicates aweighted score.,#707022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#13935,"1,387",4
Operation Liberate Men,,남성해방 대작전,Operation Liberate Men,Manhwa,9,Unknown,On Hiatus,2000 to ?,"AdventureAdventure,DramaDrama,FantasyFantasy",CrossdressingCrossdressing,ShoujoShoujo,None,"Lee, Mira(Story & Art)",7.151(scored by187187 users)1indicates aweighted score.,#709222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18821,896,4
SM Hunter,Spam Mail Hunter,SM 헌터,SM Hunter,Manhwa,10,Unknown,Finished,2005 to ?,"ActionAction,FantasyFantasy,RomanceRomance,Sci-FiSci-Fi",,,Issue,"Na, You(Story & Art)",7.151(scored by146146 users)1indicates aweighted score.,#710422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#23848,605,11
Click,,클릭,Click,Manhwa,8,33,Finished,"Dec  13, 2006 to Apr  7, 2008","ComedyComedy,DramaDrama,RomanceRomance","Magical Sex ShiftMagical Sex Shift,SchoolSchool",ShoujoShoujo,None,"Lee, Youngran(Story & Art)",7.141(scored by771771 users)1indicates aweighted score.,#724222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#10729,"1,957",11
Cynical Orange,,시니컬 오렌지,Cynical Orange,Manhwa,9,24,Finished,2002 to  2006,"DramaDrama,RomanceRomance",,ShoujoShoujo,Sugar,"Yoon, Ji Woon(Story & Art)",7.141(scored by641641 users)1indicates aweighted score.,#724722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12283,"1,654",10
"Oh, Chunja Chunja! High School Bullying",,춘자고교 왕따 오춘자,,Manhwa,11,Unknown,Finished,Not available,ComedyComedy,,,None,"Hwang, Mi Ri(Story & Art)",7.141(scored by210210 users)1indicates aweighted score.,#726822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#21301,734,2
She Scares Me,She's Scary,그녀는 무서워,,Manhwa,14,Unknown,Finished,"Feb  16, 2009 to Apr  14, 2009","ActionAction,ComedyComedy,RomanceRomance",SchoolSchool,ShoujoShoujo,None,"Hwang, Mi Ri(Story & Art)",7.141(scored by902902 users)1indicates aweighted score.,#727122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8584,"2,597",13
All of You in the World,"Niga Sesangi Jeonboda, You Everything in the World, You are My Everything",니가 세상의 전부다,All of You in the World,Manhwa,9,Unknown,Finished,Sep  2009 to Nov  2009,"ComedyComedy,RomanceRomance",,ShoujoShoujo,None,"Hwang, Mi Ri(Story & Art)",7.141(scored by217217 users)1indicates aweighted score.,#727522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#19151,871,2
Magician,Masula,마술사,Magician,Manhwa,Unknown,526,Finished,"Oct  31, 2007 to Feb  14, 2018","ActionAction,AdventureAdventure,FantasyFantasy",,,Naver Webtoon,"Kim, Serae(Story & Art)",7.141(scored by210210 users)1indicates aweighted score.,#728622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#21745,708,9
